,0
0,0.9810939038672098
1,0.15415982847533574
2,0.13086113424562826
3,0.11732999017325843
4,0.10765671130360627
5,0.1000544775004794
6,0.09375710249310587
7,0.08836529276719908
8,0.08362513071880108
9,0.07938075747068335
10,0.07552202218552916
11,0.07198044966633727
12,0.06868996734662754
13,0.06560932972082277
14,0.06271199364124275
15,0.05997133046025183
16,0.05736451087201514
17,0.05487211898150968
18,0.052480294073863724
19,0.05018511555362039
20,0.047960658898440804
21,0.045803443960300304
22,0.04370215139919665
23,0.04165275771988601
24,0.039645843889291696
25,0.03767683266139612
26,0.035740488640418865
27,0.033826613208142724
28,0.03192959544135303
29,0.030042186356717494
30,0.02816233572709124
31,0.026270277094005083
32,0.02435625526236325
33,0.022400089312435652
34,0.02037094022351794
35,0.018205384337684004
36,0.015751879173898843
37,0.012440228777960307
38,0.010543786256187937
39,0.009290632547628953
40,0.00830546409891146
41,0.007480509562145282
42,0.006763287044766291
43,0.006129216212529417
44,0.005558323600647471
45,0.005039980998489915
46,0.004567245657487613
47,0.004133769396192781
48,0.0037334233170329798
49,0.003359697093312606
50,0.0030126648248037006
51,0.00268824542475092
52,0.0023876716348728757
53,0.002107450991255663
54,0.0018453033464938039
55,0.0015993866588204827
56,0.0013689975589286627
57,0.0011541667531340997
58,0.0009541085950686688
59,0.0007978502913696192
60,0.0006789057920175809
61,0.0005812963542511414
62,0.0004980846215181462
63,0.000425565695811046
64,0.00036391460250852995
65,0.00031071323188903413
66,0.000263545270460848
67,0.00022258466707149283
68,0.00018680976482733614
69,0.00015507391548808523
70,0.00012780548126457
71,0.00010438770455704532
72,8.467596626914888e-05
73,6.83277484695947e-05
74,5.45098216364073e-05
75,4.368007157248629e-05
76,3.468259061131592e-05
77,2.7445449708321996e-05
78,2.119664806447717e-05
79,1.6099729175535442e-05
80,1.2043654950081495e-05
81,9.135248923021986e-06
82,6.870769304092258e-06
83,4.9646926380934776e-06
84,3.5330293452877256e-06
85,2.5100071600790458e-06
86,1.8238903263137417e-06
87,1.3304936577081362e-06
88,9.610071933460548e-07
89,6.629596252351558e-07
90,4.2129250020269223e-07
91,2.9022321707931795e-07
92,1.786253358343346e-07
93,1.1936635276958064e-07
94,6.651134303477347e-08
95,5.368472261857167e-08
96,3.4709495158805534e-08
97,2.1989725465994903e-08
98,6.088800834798504e-09
99,6.088800834798504e-09
