,0,1,2,3,4,5,6
0,3024143.25,84824.71875,126365.1796875,144926.84375,236993.265625,4272.8271484375,13673.9140625
1,574766.375,5297.4794921875,19415.703125,67885.6015625,14605.40625,1538.83447265625,1846.51965332031
2,393259.65625,15678.4130859375,37509.58203125,90342.0390625,27994.234375,2703.29467773437,5392.72607421875
3,2174163,39231.00390625,90089.9140625,143573.59375,177172.59375,3695.79028320312,8344.1259765625
4,838703.875,16636.595703125,36395.32421875,79000.7734375,68685.34375,2817.0498046875,3201.02294921875
5,1055027,47525.83984375,62031.8828125,108142.1484375,35139.54296875,3853.34008789063,8280.244140625
6,2174653,83710.390625,105842.6171875,138250.625,47376.76953125,5136.974609375,13702.8857421875
7,837955.25,38942.53515625,47738.73828125,98113.2734375,6073.607421875,3903.044921875,7433.4794921875
8,1971343.25,45641.53515625,67494.7578125,129117.2265625,6248.29833984375,3989.58227539062,6855.39111328125
9,2080180.25,50960.109375,76891.5625,139254.359375,5501.662109375,4483.23291015625,8612.2294921875
10,602588.0625,70378.8046875,60837.58203125,76820.7578125,21481.837890625,3727.2294921875,7945.72314453125
11,1931860.125,91630.0078125,98030.3828125,114570.3828125,44613.33984375,4455.416015625,13127.06640625
12,677240.375,37096.40625,59489.7109375,126316.109375,20241.708984375,4535.8291015625,8804.8515625
13,2206246,65343.01171875,96171.8984375,169930.46875,10651.8115234375,4943.1435546875,15387.0390625
14,2148301.5,87825.9296875,152936.578125,205869.96875,10859.8408203125,6953.1767578125,23522.951171875
15,598806.875,54464.6796875,60081.33984375,103581.1171875,16663.796875,4643.5087890625,9198.623046875
16,1864578.625,90316.515625,115868.453125,145132.984375,23910.109375,5779.31787109375,18902.302734375
17,1682368.875,38078.80078125,120683.3359375,127817.4140625,245086.34375,4584.44287109375,12070.8603515625
18,582643.625,35740.2109375,55800.4609375,106230.1171875,29200.390625,3259.98388671875,7535.234375
19,673524.375,46366.0078125,71059.9375,117396.515625,31414.388671875,3092.30737304687,2866.49194335937
20,919852.9375,63402.23828125,72792.953125,102370.734375,87770.3515625,2948.80908203125,4861.96240234375
21,2942183.75,70020.6640625,87953.5390625,151674.3125,110800.15625,3956.21337890625,12611.462890625
22,519472.21875,32989.8515625,41138.36328125,74398.2578125,34462.9609375,3618.353515625,5828.947265625
23,684045.875,55913.69921875,59738.4609375,87703.40625,30805.041015625,3965.39501953125,8215.609375
24,1686871.125,62949.7578125,114038.4296875,176548.796875,104470.25,4683.7841796875,13531.2470703125
25,3058345.25,127257.203125,95920.5078125,141231.15625,47001.9296875,3794.7021484375,8049.267578125
26,2829124.75,96700.6328125,114735.421875,136348.171875,190737.34375,4163.26904296875,7390.3564453125
27,3264397.5,138878.59375,133464.796875,171098.796875,159379.65625,5580.7861328125,18399.755859375
28,2794519.75,75552.6640625,103900.7109375,151384.96875,30158.01953125,4851.69677734375,14032.1171875
29,2765547.75,88557.125,73612.0625,106888.9140625,21561.767578125,3229.248046875,12603.1494140625
30,3072481,53383.5703125,69757.2734375,149947.796875,119841.28125,4733.935546875,11455.078125
31,3183300.5,108644.234375,124643.40625,176793.75,70117.3828125,5709.375,17191.40625
32,2956572,101833.5234375,106874.5625,168170.28125,28199.046875,4132.2509765625,13418.3349609375
33,2799264.5,64680.078125,94682.421875,163757.421875,136630.46875,5185.546875,12599.609375
34,3155785,50679.9296875,64843.9453125,122598.6328125,278430.46875,3653.173828125,10408.88671875
35,2500140.75,115244.265625,133113.4375,178866.625,14495.1416015625,5656.66650390625,22103.08984375
,,,,,,,
mean,1867340.5,65343.8063151042,84776.2565104167,130334.842881944,70688.2099745009,4228.65369330512,10816.7767571343
SD,995717.56818685,31297.4298703947,32033.4234612874,34194.4798619843,75155.4513276832,1039.36807160619,5124.42846275302
