,0,1,2,3,4,5,6
0,3027994.75,97171.71875,133660.1875,118084.3046875,239741.140625,4683.642578125,13864.154296875
1,577140.6875,8933.4921875,17915.431640625,63625.23046875,13228.17578125,2279.697265625,2233.20947265625
2,407942.5,22690.220703125,31056.953125,78425.9375,24982.4609375,2807.64575195312,4974.22900390625
3,2180442,45511.33203125,90128.5703125,126116.015625,181990.953125,3495.91577148438,8585.169921875
4,846587.75,20173.984375,30313.818359375,71295.015625,70490.421875,3042.87231445312,3536.142578125
5,1055418,47517.97265625,63437.390625,104876.375,36353.07421875,4052.86791992188,8344.2880859375
6,2177050.75,84384.6640625,109789.96875,130996.21875,47561.71875,4735.22705078125,14154.8505859375
7,838491.75,39691.84765625,47695.46484375,96716.578125,5980.98193359375,3975.458984375,7607.81884765625
8,1969743.75,54538.65234375,66847.5078125,122100.6875,5991.9521484375,4208.16796875,7259.322265625
9,2079524.75,59923.75390625,75644.6796875,131151.765625,5316.92919921875,4779.65185546875,9541.8173828125
10,603434.625,76006.109375,60046.66796875,73494.1640625,18495.728515625,4023.75830078125,8278.9658203125
11,1932782,94736.359375,103866.1015625,104457.34375,44675.2578125,4447.470703125,13322.1376953125
12,679463,36055.3359375,58836.10546875,124707.4765625,21192.396484375,4346.3818359375,9124.3076171875
13,2204925,68168.71875,98807.140625,164777.578125,13994.396484375,4008.89770507813,13991.640625
14,2143698,89295.1328125,155753.671875,204313.09375,13306.416015625,6022.0009765625,23881.84375
15,601169,54074.52734375,60395.72265625,102891.9375,17313.2734375,3552.86791992188,8042.6201171875
16,1864837.625,91345.5625,117399.8671875,142307.703125,24440.287109375,4937.349609375,19220.03125
17,1712537.375,36523.171875,109188.9921875,135150.390625,221658.625,3560.38916015625,12071.1259765625
18,581707.75,32993.875,55939.73046875,108331.0625,29540.736328125,3525.21875,8371.6240234375
19,665726.8125,43953.73828125,72860.9375,118811.046875,31730.28125,3632.43798828125,9004.7705078125
20,921309.875,56786.328125,73054.109375,102597.2109375,90446.7890625,2979.45434570312,6826.24072265625
21,2940928.75,67160.15625,97072.8515625,144735.9375,111667.0546875,4170.52001953125,13464.66015625
22,519722.0625,29934.83984375,41221.69921875,75915.75,34541.62890625,3809.64184570312,6763.32373046875
23,683166.8125,52591.5859375,61227.10546875,88004.75,31407.17578125,4240.23193359375,9749.8388671875
24,1675764,52014.91015625,139349.015625,160903.34375,111789.109375,5556.384765625,17716.5859375
25,3055713.5,117905.5390625,120807.4921875,116196.4140625,50878.39453125,4508.5693359375,15590.1123046875
26,2834694.25,78533.71875,146221.984375,108480.6484375,192335.375,5041.845703125,13892.0654296875
27,3264310.5,124826.65625,173633.375,137440.59375,162106.28125,6617.0654296875,22265.625
28,2795312.5,68057.3359375,124706.5078125,131991.8125,30085.7421875,5891.9677734375,18354.02734375
29,2760750.25,78890.9921875,65036.5,84009.15625,64888.18359375,3559.2041015625,14865.6005859375
30,3073952.75,42393.75,93731.59375,129420.796875,122012.765625,5944.189453125,14144.1162109375
31,3183631.25,98273.140625,154451.515625,150054.78125,72221.484375,6641.89453125,21125.830078125
32,2953204,96299.0078125,131043.6796875,148165.25,29124.755859375,4831.16455078125,16532.2265625
33,2806898.5,45925,127204.296875,135391.40625,138896.875,6380.078125,16103.90625
34,3172226.75,33908.640625,92144.09375,87929.734375,282878.1875,4091.748046875,13220.947265625
35,2497973.75,108772.6796875,160773.375,153017.09375,15375.9091796875,6506.9892578125,27200.072265625
,,,,,,,
mean,1869171.59375,62665.6791992188,93368.4473741319,118802.35015191,72462.2477484809,4469.13526746962,12589.5902370877
SD,995560.154694785,28975.9580131969,40859.6174826741,30506.4895900603,74237.350524122,1124.97230986174,5772.03979274908
