,0
0,0.9999999055048314
1,0.98857088205291
2,0.9797985670043201
3,0.9716627336129909
4,0.9637929651795364
5,0.9559908116736063
6,0.9481283237294453
7,0.9401475016663714
8,0.9320392041671567
9,0.9237769914836418
10,0.9153219839421715
11,0.9065398457573681
12,0.8976026991518532
13,0.8882818527337981
14,0.8785351456665411
15,0.8685143415520831
16,0.8581223124411048
17,0.8473974786153654
18,0.8361188769340515
19,0.8243312981070542
20,0.8120340167022333
21,0.7991608090516997
22,0.7857298211353582
23,0.7715900336823812
24,0.7567949803864084
25,0.7411515349295081
26,0.7246243255894359
27,0.7070555694219542
28,0.6882783901400682
29,0.6682225327666212
30,0.6465720069117662
31,0.6230191450293471
32,0.5971100977281245
33,0.56837904380589
34,0.535728939422747
35,0.49741881213537076
36,0.44891468271976565
37,0.36675241843956274
38,0.29593303835973506
39,0.26398957611584084
40,0.2404232653902798
41,0.22130304938409387
42,0.20476340320779057
43,0.1901027269479705
44,0.17666114339741265
45,0.16432134916142718
46,0.15275722106055514
47,0.14174017328314664
48,0.13139878804000413
49,0.12147373006474681
50,0.11194046786645563
51,0.10264968136098326
52,0.09374381256539648
53,0.0850484138581811
54,0.07655773107416747
55,0.06825652336928903
56,0.060103912587936334
57,0.05213950242756343
58,0.0443819147966257
59,0.036963751789455004
60,0.03175074245962428
61,0.02766565595776206
62,0.024274387771672592
63,0.0213180903413492
64,0.018765264946013327
65,0.016439859988167882
66,0.014341998260422813
67,0.012453427495684748
68,0.010756893074934984
69,0.009232437618576535
70,0.007868260674735122
71,0.006626436799174038
72,0.0055146548959494725
73,0.004544258706850886
74,0.003687100504133169
75,0.002976339832147038
76,0.002395532536178418
77,0.0019181992206651513
78,0.0015268779126217406
79,0.0012098739328105627
80,0.0009432524855627689
81,0.0007281206990450212
82,0.0005486451504244852
83,0.00039482344237046896
84,0.00027845258974349877
85,0.00019272458681237966
86,0.00013114864610520827
87,9.436551260655617e-05
88,6.808079728571324e-05
89,4.959205129924202e-05
90,3.6918296983436095e-05
91,2.825105754554232e-05
92,1.9785344814342197e-05
93,1.3799237810261974e-05
94,8.439196673817804e-06
95,5.805170442216899e-06
96,3.6166263781502137e-06
97,2.7723096159539505e-06
98,1.2637374089624755e-06
99,3.8961013892620075e-07
