,0
0,6
1,8
2,3
3,6
4,2
5,5
6,8
7,4
8,7
9,5
10,1
11,10
12,4
13,3
14,8
15,6
16,8
17,7
18,1
19,6
20,9
21,9
22,11
23,7
24,12
25,9
26,7
27,9
28,11
29,5
30,5
31,3
32,4
33,4
34,4
35,2
36,3
37,5
38,3
39,3
40,7
,
mean,5.85365853658537
SD,2.82454399514113
