,1,2,3,4,5,6
0,0.948,0.823,0.9,0.84,0.907,0.9
1,0.946,0.819,0.898,0.836,0.905,0.901
2,0.942,0.819,0.895,0.838,0.908,0.9
,,,,,,
mean,0.945333333333334,0.820333333333334,0.897666666666667,0.838,0.906666666666667,0.900333333333333
SD,0.003055050463304,0.002309401076759,0.002516611478424,0.002,0.001527525231652,0.00057735026919
