,1,2,3,4,5,6
0,0.371,0.458,0.346,0.293,0.651,0.507
1,0.369,0.545,0.373,0.326,0.728,0.513
2,0.476,0.502,0.354,0.322,0.686,0.486
,,,,,,
mean,0.405333333333333,0.501666666666667,0.357666666666667,0.313666666666667,0.688333333333333,0.502
SD,0.061207298039804,0.043500957843861,0.013868429375143,0.018009256878987,0.038552993831003,0.014177446878758
