,1,2,3,4,5,6
0,0.038,0.106,0.068,0.071,0.077,0.09
1,0.039,0.122,0.082,0.084,0.077,0.078
2,0.046,0.134,0.068,0.064,0.77,0.092
,,,,,,
mean,0.041,0.120666666666667,0.072666666666667,0.073,0.308,0.086666666666667
SD,0.004358898943541,0.014047538337137,0.008082903768655,0.010148891565092,0.400103736548411,0.0075718777944
