,1,2,3,4,5,6
0,1.594,6.562,7.917,6.785,0.894,0.41
1,1.592,7.697,9.639,8.399,0.915,0.372
2,2.722,8.331,7.847,6.348,0.951,0.44
,,,,,,
mean,1.96933333333333,7.53,8.46766666666667,7.17733333333333,0.92,0.407333333333333
SD,0.651829220987624,0.896246059963445,1.01500804594512,1.08032140279332,0.028827070610799,0.034078341117686
