,0
0,0.9737403741696986
1,0.14471599223410211
2,0.12290764363800608
3,0.11033996539871867
4,0.1013505080851113
5,0.09433077393871982
6,0.08853147287921208
7,0.08356724515920733
8,0.07920419079501455
9,0.07530249046479784
10,0.0717576557724941
11,0.06850382749263834
12,0.0654853612366246
13,0.06266551719206136
14,0.06001636058819003
15,0.05751414497087642
16,0.055135532759311726
17,0.052861206097210324
18,0.05067298102487878
19,0.04857283676179444
20,0.04654435677135863
21,0.04457693869566045
22,0.04265950215844119
23,0.0407879035465601
24,0.038953553658069635
25,0.037153988849462534
26,0.035380138493165736
27,0.033622310655873
28,0.031884217180493404
29,0.030161676019793603
30,0.02844562290645227
31,0.026733477599918842
32,0.025009317823299546
33,0.02326583505676287
34,0.02148931598427092
35,0.01964916032171104
36,0.0176996201867374
37,0.015540055056079858
38,0.01256609338949003
39,0.010398723128274447
40,0.00917798783289405
41,0.00823758608411725
42,0.007455366584131631
43,0.006777836063808602
44,0.006175813830185045
45,0.005635590653116928
46,0.005140003492692258
47,0.0046864063109884535
48,0.004267179977898373
49,0.0038808776412113774
50,0.0035213131880637532
51,0.0031856304963073898
52,0.0028736877678212053
53,0.002578947931618952
54,0.002304843768886313
55,0.002046378953353979
56,0.0018039103263773296
57,0.0015758046903079602
58,0.0013636106947471003
59,0.001164189742511797
60,0.000978044343178115
61,0.0008264342498633352
62,0.0007119018997267321
63,0.0006163707794479617
64,0.0005339664174953657
65,0.00046197103615779224
66,0.0003995919786819552
67,0.0003439121546540353
68,0.0002947600102144373
69,0.00025150170067052654
70,0.00021245014569303304
71,0.00017802446741481572
72,0.00014786609384517338
73,0.00012159074706842814
74,9.887920683335013e-05
75,8.000635431549531e-05
76,6.348388006233841e-05
77,5.030719870408176e-05
78,3.9534474987382364e-05
79,3.078705302142425e-05
80,2.3801397243620913e-05
81,1.794937758898125e-05
82,1.3383054866544515e-05
83,9.862610543278584e-06
84,7.206866688725645e-06
85,5.025917734500825e-06
86,3.4431228052321007e-06
87,2.222990935005017e-06
88,1.4905278785535323e-06
89,1.0233027317431927e-06
90,6.713269491095761e-07
91,4.4588492152697877e-07
92,2.9210035314108386e-07
93,2.0786484667940207e-07
94,1.620892528923677e-07
95,9.49531802345474e-08
96,6.097634925980656e-08
97,3.3627233550560496e-08
98,1.8399651796754346e-08
99,9.199825898377173e-09
