,1,2,3,4,5,6
0,0.945,0.814,0.898,0.838,0.886,0.897
1,0.942,0.82,0.901,0.846,0.904,0.906
2,0.948,0.821,0.899,0.844,0.905,0.905
,,,,,,
mean,0.945,0.818333333333333,0.899333333333333,0.842666666666667,0.898333333333333,0.902666666666667
SD,0.003,0.0037859388972,0.001527525231652,0.004163331998932,0.010692676621564,0.004932882862316
