,1,2,3,4,5,6
0,1.594,9.604,8.258,6.559,0.937,0.338
1,1.691,8.507,7.211,5.907,1.088,0.262
2,1.596,8.612,7.505,5.754,1.167,0.364
,,,,,,
mean,1.627,8.90766666666667,7.658,6.07333333333333,1.064,0.321333333333333
SD,0.055434646206141,0.6053233295796,0.540008333269033,0.427500097465876,0.116863167850268,0.053003144560803
