,1,2,3,4
0,0.956,0.998,0.906,0.906
1,0.953,0.998,0.908,0.941
2,0.95,0.998,0.909,0.925
,,,,
mean,0.953,0.998,0.907666666666667,0.924
SD,0.003,0,0.001527525231652,0.017521415467935
