,1,2,3,4,5,6
0,0.038,0.153,0.073,0.069,0.091,0.075
1,0.046,0.13,0.062,0.061,0.098,0.056
2,0.038,0.132,0.066,0.063,0.103,0.077
,,,,,,
mean,0.040666666666667,0.138333333333333,0.067,0.064333333333333,0.097333333333333,0.069333333333333
SD,0.004618802153517,0.012741009902411,0.00556776436283,0.004163331998932,0.006027713773342,0.011590225767143
