,1,2,3,4,5,6
0,0.429,0.595,0.374,0.375,1.092,0.54
1,0.336,0.194,0.249,0.203,0.394,0.442
2,0.326,0.459,0.341,0.289,0.559,0.447
,,,,,,
mean,0.363666666666667,0.416,0.321333333333333,0.289,0.681666666666667,0.476333333333333
SD,0.056800821590302,0.203928909181607,0.064779111859714,0.086,0.364809996208072,0.055193598662647
